발생날짜,조사해역,원인생물,생물밀도(max),생물밀도(min),수온(max),수온(min),속보코드
20181204,경남 통영시 영운리,Akashiwo sanguinea,1000,800,15.5,15.5,20181204-001
20181019,경남 거제시,Mesodinium rubrum,480,260,20.2,20.2,20181024-002
20180928,전남 완도군,Mesodinium rubrum,3500,2000,0,0,20181001-001
20180922,전남 장흥군,Mesodinium rubrum,4000,1000,23.5,22.7,20180927-001
20180920,전남 신안군 흑산면,Noctiluca sp.,1532,1500,22.8,21.8,20180921-007
20180917,전남 완도군 소안면,Gymnodinium sp.,300,300,0,0,20180921-006
20180920,전남 완도군 청산도 동측,Mesodinium rubrum,1200,900,21.2,21.2,20180921-002
20180918,전남 완도군 망석리,Mesodinium rubrum,700,600,23.3,23.3,20180921-001
20180915,전남 완도군 금일읍 장도,Noctiluca sp.,8000,5000,0,0,20180920-002
20180920,전남 여수시 삼산면 거문도 ,Gymnodinium catenatum,870,870,23,23,20180920-001
20180919,경북 울진군 후포항,Noctiluca sp.,0,0,0,0,20180919-002
20180819,없음,없음,,,28,27.1,20180819-001
20180818,없음,없음,,,28.8,26.1,20180818-001
20180817,없음,없음,,,30.3,26.2,20180817-001
20180816,없음,없음,,,31.4,26.4,20180816-001
20180815,없음,없음,,,31.6,26.6,20180815-001
20180814,없음,없음,,,29.9,27.6,20180814-005
20180813,없음,없음,,,28.7,27.9,20180813-001
20180812,없음,없음,,,28.7,27.9,20180812-001
20180811,없음,없음,,,29.4,25,20180811-001
20180810,없음,없음,,,29.6,26.7,20180810-001
20180809,"전남 여수시 돌산동안, 월호~화태",Cochlodinium polykrikoides,930,90,39.8,28.6,20180809-001
20180808,"전남 여수시 돌산동안, 월호~화태~함구미해역",Cochlodinium polykrikoides,500,400,29.3,27.5,20180808-001
20180808,"전남 여수시 돌산동안, 월호~화태~함구미해역",Cochlodinium polykrikoides,960,10,29.3,27.5,20180808-001
20180808,경남 고성군 하이면,Cochlodinium polykrikoides,500,400,30.1,30.1,20180808-001
20180808,경남 고성군 하이면,Cochlodinium polykrikoides,960,10,30.1,30.1,20180808-001
20180807,"전남 여수시 돌산동안, 월호∼화태∼함구미해역",Cochlodinium polykrikoides,930,760,29.4,27.3,20180807-001
20180807,"전남 여수시 돌산동안, 월호∼화태∼함구미해역",Cochlodinium polykrikoides,350,10,29.4,27.3,20180807-001
20180807,"전남 여수시 돌산동안, 월호∼화태∼함구미해역",Cochlodinium polykrikoides,800,700,29.4,27.3,20180807-001
20180807,"전남 여수시 돌산동안, 월호∼화태∼함구미해역",Cochlodinium polykrikoides,600,120,29.4,27.3,20180807-001
20180807,"전남 여수시 돌산동안, 월호∼화태∼함구미해역",Cochlodinium polykrikoides,950,5,29.4,27.3,20180807-001
20180807,경남 남해군 창선∼하동 해역함구미해역,Cochlodinium polykrikoides,930,760,29.9,27,20180807-001
20180807,경남 남해군 창선∼하동 해역함구미해역,Cochlodinium polykrikoides,350,10,29.9,27,20180807-001
20180807,경남 남해군 창선∼하동 해역함구미해역,Cochlodinium polykrikoides,800,700,29.9,27,20180807-001
20180807,경남 남해군 창선∼하동 해역함구미해역,Cochlodinium polykrikoides,600,120,29.9,27,20180807-001
20180807,경남 남해군 창선∼하동 해역함구미해역,Cochlodinium polykrikoides,950,5,29.9,27,20180807-001
20180807,경남 고성군 하이면,Cochlodinium polykrikoides,930,760,29.8,29.8,20180807-001
20180807,경남 고성군 하이면,Cochlodinium polykrikoides,350,10,29.8,29.8,20180807-001
20180807,경남 고성군 하이면,Cochlodinium polykrikoides,800,700,29.8,29.8,20180807-001
20180807,경남 고성군 하이면,Cochlodinium polykrikoides,600,120,29.8,29.8,20180807-001
20180807,경남 고성군 하이면,Cochlodinium polykrikoides,950,5,29.8,29.8,20180807-001
20180807,경남 통영시 산양∼사량,Cochlodinium polykrikoides,930,760,29.8,23.9,20180807-001
20180807,경남 통영시 산양∼사량,Cochlodinium polykrikoides,350,10,29.8,23.9,20180807-001
20180807,경남 통영시 산양∼사량,Cochlodinium polykrikoides,800,700,29.8,23.9,20180807-001
20180807,경남 통영시 산양∼사량,Cochlodinium polykrikoides,600,120,29.8,23.9,20180807-001
20180807,경남 통영시 산양∼사량,Cochlodinium polykrikoides,950,5,29.8,23.9,20180807-001
20180807,경남 거제시 동부면 율포,Cochlodinium polykrikoides,930,760,27.4,27.4,20180807-001
20180807,경남 거제시 동부면 율포,Cochlodinium polykrikoides,350,10,27.4,27.4,20180807-001
