YYYYMMDD	Cochlo_YN	type	Cell_min	Cell_max	LAT	LON
20090825	0	Gonyaulax sp.	500	15000	35.9271433	129.6089087
20090825	0	Scrippsiella trochoidea	500	7000	35.9271433	129.6089087
20090907	0	Noctiluca scintillans	4500	5000	36.06751885	129.5118647
20090907	0	Noctiluca scintillans	170	NA	36.06751885	129.5118647
20090825	0	Peudo-nitzschia spp.	20	40	35.9271433	129.6089087
20090825	0	Gonyaulax sp.	9000	14000	35.9271433	129.6089087
20090826	0	Scrippsiella trochoidea	10000	15000	35.89246291	129.5521964
20090826	0	Scrippsiella trochoidea	1800	4400	35.89246291	129.5521964
20010905	1	Cochlodinium polykrikoides	1700	NA	37.525482	129.145264
20090826	0	Gonyaulax sp.	300	13000	35.89246291	129.5521964
20090823	0	Peudo-nitzschia pungens	5	15	35.44250321	129.4348299
20090826	0	Scrippsiella trochoidea	1000	8000	35.89246291	129.5521964
20090826	0	Gonyaulax sp.	200	3500	35.89246291	129.5521964
20090826	0	Gonyaulax polygramma	1000	1500	35.89246291	129.5521964
20090823	0	Gonyaulax sp.	7000	10000	35.44250321	129.4348299
20090824	0	Peudo-nitzschia pungens	5	20	35.07390678	129.0723191
20090824	0	Gonyaulax sp.	40	50	35.07390678	129.0723191
20090828	0	Scrippsiella trochoidea	300	11520	35.07148416	129.0295233
20090828	0	Gonyaulax sp.	100	3000	35.07148416	129.0295233
20090824	0	Gonyaulax sp.	800	900	35.07390678	129.0723191
20090824	0	Scrippsiella trochoidea	12000	15000	35.07390678	129.0723191
20090824	0	Scrippsiella trochoidea	150	9000	35.07390678	129.0723191
20090824	0	Scrippsiella trochoidea	12000	15000	35.07390678	129.0723191
20090828	0	Gonyaulax sp.	500	600	35.07148416	129.0295233
20091030	1	Cochlodinium polykrikoides	150	830	34.58191613	127.8009029
20090817	0	Gonyaulax polygramma	500	1500	34.50013107	127.6308333
20091030	1	Cochlodinium polykrikoides	250	500	34.58191613	127.8009029
20090817	0	Gonyaulax polygramma	280	7000	34.50013107	127.6308333
20020829	0	NA	500	1500	36.446044	129.480762
20091028	1	Cochlodinium polykrikoides	250	NA	34.61684385	127.8002122
20090817	0	Gonyaulax sp.	600	1750	34.50013107	127.6308333
20091103	1	Cochlodinium polykrikoides	60	200	34.82060161	128.1248332
20091109	1	Cochlodinium polykrikoides	300	1100	34.8658078	128.1279964
20091103	1	Cochlodinium polykrikoides	300	500	34.82060161	128.1248332
20091102	1	Cochlodinium polykrikoides	200	800	34.7787473	128.053651
